연번,업소명,업소도로명주소,지정일자
275,한밭부동산,대전광역시 서구 도솔로 67-1 (도마동. 신일주택),2017-04-20
276,씨유 대전가장점,대전광역시 서구 가장로 129 (가장동),2017-04-13
277,에바 전자담배 멀티샵 월평점,대전광역시 서구 월평로 84 (월평동),2017-04-12
278,세븐일레븐 대전갈마한빛점,대전광역시 서구 계룡로342번길 35 (갈마동),2017-04-05
279,지에스(GS)25 둔산을지점,대전광역시 서구 둔산로51번길 84 (둔산동),2017-04-04
280,해든마트8호점,대전광역시 서구 대덕대로161번길 28. 1층 (갈마동),2017-04-03
281,씨유 월평무지개점,대전광역시 서구 청사서로 11. 상가동 1층 103.104호 (월평동. 무지개아파트),2017-03-27
282,복드림마트,대전광역시 서구 원도안로 16. 107호 (가수원동. 지산프라자),2017-03-22
283,주식회사 홈세이브,대전광역시 서구 신갈마로 228 (갈마동),2017-03-22
284,지에스25S뉴용문역점,대전광역시 서구 계룡로 지하 644. 용문역 지하1층 (용문동. 용문역),2017-03-20
285,수할인마트,대전광역시 서구 도마로 125. 101호 (변동. 삼덕빌라트),2017-03-20
286,천지유통,대전광역시 서구 변동서로12번길 19 (변동),2017-03-15
287,어! 마트네,대전광역시 서구 조달청길 172. 1층 101호 (도마동),2017-03-09
288,시내버스승차권판매소,대전광역시 서구 청사로 70 (월평동. 누리아파트),2017-03-09
289,세븐일레븐 대전복수점,대전광역시 서구 오량2길 3. 1층 101.102호 (복수동),2017-03-08
290,포유(For You),대전광역시 서구 관저로 3-4. 1층 (관저동. 다온),2017-03-02
291,세븐일레븐 대전도안대학로점,대전광역시 서구 도안북로93번길 10-11. 103호 (도안동. 스타프라자),2017-02-28
292,씨유 대전괴정스타점,대전광역시 서구 괴정로16번길 24. 1층 (괴정동),2017-02-23
293,노다지복권방,대전광역시 서구 조달청길 62. 1층 1호 (도마동),2017-02-23
294,은아마트,대전광역시 서구 가수원로 72. 1층 101호 (가수원동. 은아아파트1단지),2017-02-23
295,팔복유통,대전광역시 서구 도안북로 88 (도안동. 목원대학교),2017-02-21
296,지에스25둔산리치점,대전광역시 서구 둔산중로 38. 107호 (둔산동. 둔산메트로존),2017-02-15
297,지에스25둔산보라점,대전광역시 서구 둔산로 240 (둔산동),2017-02-14
298,홈플러스 익스프레스 대전둔산점,대전광역시 서구 청사로 281. 1층 (둔산동. 샘머리아파트2단지),2017-02-13
299,THE 좋은마트,대전광역시 서구 중반7길 99 (변동),2017-02-07
300,롯데마켓999 대전만년가맹점,대전광역시 서구 만년남로11번길 42. 1층 (만년동),2017-02-07
301,GS25 대전 둔산점,대전광역시 서구 문정로 114 (탄방동),2017-02-02
302,계룡마트 도마점,대전광역시 서구 도마4길 20. 1층 (도마동),2017-01-25
303,리지할인마트가장,대전광역시 서구 가장로 143 (가장동),2017-01-23
304,지에스25내동빌리지점,대전광역시 서구 동서대로997번길 98 (내동),2017-01-19
305,전자담배&피규어샵,대전광역시 서구 관저중로64번길 34. 1층 604호 (관저동. 마코빌딩),2017-01-19
306,세븐일레븐 대전관저중앙점,대전광역시 서구 관저중로96번길 76 (관저동),2017-01-10
307,천사마트,대전광역시 서구 용문로 38. 1층 (괴정동),2017-01-10
308,서은마트 프라임,대전광역시 서구 신갈마로 129 (갈마동),2017-01-05
309,롯데마켓999둔산남로가맹점,대전광역시 서구 둔산남로9번길 39. 1층 (둔산동),2017-01-02
310,(주)코리아세븐 대전월평제일점,대전광역시 서구 한밭대로707번길 25 (월평동),2016-12-30
311,푸르지오마트,대전광역시 서구 계룡로326번길 17. 101호 (갈마동),2016-12-20
312,씨유 대전관저타운점,대전광역시 서구 구봉산북로280번길 10. 지하1층 (관저동),2016-12-20
313,대한종합상사,대전광역시 서구 월평서로 1-1. 1층 102호 (월평동),2016-12-16
314,로또복권방,대전광역시 서구 갈마중로 28 (갈마동),2016-12-14
315,동양철물건재,대전광역시 서구 복수남로 20. 1층 (복수동),2016-12-05
316,(주)코리아세븐 대전만년강변점,대전광역시 서구 만년로 20 (만년동),2016-11-28
317,한신할인마트,대전광역시 서구 계룡로536번길 10. 1층 (괴정동),2016-11-25
318,탐스팩토리,대전광역시 서구 둔산중로 8. 1층 (탄방동. 한국교직원공제회대전회관),2016-11-09
319,세븐일레븐 대전괴정타운점,대전광역시 서구 도솔로305번길 63 (괴정동),2016-11-09
320,주식회사 신선유통,대전광역시 서구 둔산로 220. 지하101층 (둔산동),2016-11-07
321,지에스25 변동스타,대전광역시 서구 배재로233번길 44. 1층 (변동),2016-11-04
322,에스마트,대전광역시 서구 신갈마로86번길 81 (갈마동),2016-10-28
323,강변마트,대전광역시 서구 만년남로11번길 85 (만년동),2016-10-28
324,세븐일레븐 대전괴정희망점,대전광역시 서구 괴정로 58. 1층 (괴정동),2016-10-26
325,GS25둔산스타,대전광역시 서구 둔산남로 104. 1층 (탄방동),2016-10-25
326,예스할인마트,대전광역시 서구 배재로91번길 21. 상가동 1.2.3.4호 (도마동. 럭키도마아파트),2016-10-21
327,지에스25S뉴정부청사역,대전광역시 서구 한밭대로 지하 744. 지하1층 (둔산동. 정부청사역),2016-10-19
328,뽕과일,대전광역시 서구 도산로 11. 109동 (도마동. 효성타운),2016-10-13
329,폰마트,대전광역시 서구 원도안로 43. 104호 (가수원동. 우미프라자),2016-10-10
330,베스트올 대전도솔점,대전광역시 서구 도솔로 19 (도마동),2016-10-07
331,지에스25가수원사랑,대전광역시 서구 벌곡로 1321-10. 1층 (가수원동),2016-10-07
332,CU 둔산녹원점,대전광역시 서구 계룡로491번길 8. 104-1호 (둔산동. 갤러리빌4차),2016-09-28
333,이마트24 대전괴정점,대전광역시 서구 용문로 35-23 (괴정동),2016-09-28
334,이마트24 목원대드림점,대전광역시 서구 도안북로118번길 3. 101호 (도안동),2016-09-27
335,다온마트,대전광역시 서구 구봉산북로 165. 상가동 1층 102.103.104호 (관저동. 다온숲3단지),2016-09-21
336,GS25관저천년나무,대전광역시 서구 구봉산북로 212. 상가동 1층 101.102.103호 (관저동. 관저5엘에이치천년나무),2016-09-09
337,방송국공인중개사,대전광역시 서구 만년로67번길 36-84 (만년동. 디지털타운1층),2016-09-09
338,미니스톱 월평본점,대전광역시 서구 월평로 57. 1층 (월평동. 태원빌딩),2016-09-02
339,씨유 대전가수원타운점,대전광역시 서구 용소로46번길 101 (가수원동),2016-09-02
340,(주)코리아세븐 대전만년본점,대전광역시 서구 만년로67번길 30 (만년동),2016-08-29
341,씨유 괴정원룸점,대전광역시 서구 괴정로115번길 23. 1층 (괴정동),2016-08-26
342,GS25 탄방탑스빌,대전광역시 서구 문정로2번길 113. 103호 (탄방동. 탑스빌),2016-08-26
343,지티 엔터프라이즈(전자),대전광역시 서구 월평로 20-1 (월평동),2016-08-24
344,세븐일레븐,대전광역시 서구 구봉산북로15번길 19 (관저동),2016-08-22
345,씨유 도안리슈빌점,대전광역시 서구 도안동로 123. 101.102호 (도안동. 도안리슈빌아파트),2016-08-18
346,씨유 대전복수스타점,대전광역시 서구 복수남로 55. 1층 (복수동),2016-08-16
347,모터스편의점,대전광역시 서구 월드컵대로484번길 45 (월평동),2016-08-03
348,GS25월평다모아,대전광역시 서구 월평동로 83 (월평동. 다모아아파트 상가동 109호),2016-08-01
349,노다지슈터,대전광역시 서구 도산로207번길 43 (변동),2016-07-28
350,서라벌마트,대전광역시 서구 월평로34번길 13 (월평동),2016-07-22
351,청솔수예점,대전광역시 서구 도마5길 12 (도마동),2016-07-19
352,벽산마트늘푸른지하점,대전광역시 서구 정림로 11 (정림동. 늘푸른아파트),2016-07-19
353,씨스페이스 대전괴정점,대전광역시 서구 괴정로 114. 103호 (괴정동),2016-07-06
354,로그인편의점(도안·가수원점),대전광역시 서구 용소로46번길 32. 1층 101호 (가수원동),2016-07-04
355,로그인 서대전점,대전광역시 서구 계백로828번길 16 (관저동),2016-06-30
356,세븐일레븐둔산점,대전광역시 서구 둔산남로 190 (탄방동),2016-06-29
357,괴정153,대전광역시 서구 계룡로576번길 28 (괴정동),2016-06-22
358,연합편의점,대전광역시 서구 계룡로 619. 1층 (탄방동. 연합병원),2016-06-22
359,프로통신,대전광역시 서구 구봉로 137. 102호 (관저동),2016-06-21
360,세븐일레븐 대전탄방중앙점,대전광역시 서구 탄방로 50-30 (탄방동. 광명빌),2016-06-17
361,가수원철물,대전광역시 서구 벌곡로 1373-1 (가수원동),2016-06-16
362,GS25 둔산한마루,대전광역시 서구 둔산북로 160. 101~102호 (둔산동. 한마루아파트상가),2016-06-16
363,유등슈퍼,대전광역시 서구 조달청길 188 (도마동),2016-06-09
364,GS25 도안아이파크,대전광역시 서구 도안동로 183. 102호 (도안동. 도안아이파크아파트),2016-06-09
365,레드버켓 대전 시청점,대전광역시 서구 둔산중로 50. 114호 (둔산동. 파이낸스빌딩),2016-06-09
366,동산마트,대전광역시 서구 용화2길 22 (도마동),2016-06-03
367,대원산업,대전광역시 서구 계백로860번길 8. 1층 (관저동),2016-05-25
368,한마음마트,대전광역시 서구 괴정로 203. 104호 (용문동. 덕일한마음아파트),2016-05-25
369,GS25시 월평사랑점,대전광역시 서구 월평로 72 (월평동. 비플랜빌딩),2016-05-25
370,GS25 한밭고,대전광역시 서구 계룡로354번길 166 (갈마동),2016-05-18
371,365홈마트,대전광역시 서구 신갈마로211번길 21 (갈마동. 문희마드레빌),2016-05-18
372,빅쎄일마트,대전광역시 서구 월평동로 83. 종합상가동 지하층 비1.비1-1호 (월평동. 다모아아파트),2016-05-17
373,GS25 대전복수점,대전광역시 서구 복수동로 40 (복수동),2016-05-16
374,씨유 도안한라비발디점,대전광역시 서구 도안북로 136. 106.107호 (도안동. 한라비발디),2016-05-12
375,GS25 탄방개나리,대전광역시 서구 계룡로509번길 41. 1층 (탄방동),2016-05-11
376,GS25 관저프라디움,대전광역시 서구 관저남로 11-1 (관저동),2016-05-02
377,디자인공작소,대전광역시 서구 둔산중로78번길 26. 105호 (둔산동),2016-04-29
378,맛깔참죽 대청병원점,대전광역시 서구 혜천로 15. 1층 102호 (정림동),2016-04-19
379,(주)이마트에브리데이 관저효성점,대전광역시 서구 관저동로 12. 101~104호 (관저동. 효성해링턴플레이스),2016-04-15
380,황실담배,대전광역시 서구 청사로 지하 65. 27호 (월평동. 황실타운아파트),2016-04-15
381,스모킹카페 둔산점(전자),대전광역시 서구 대덕대로233번길 28. 7층 (둔산동. 국제빌딩),2016-04-15
382,GS 탄방스타,대전광역시 서구 탄방로7번길 71 (탄방동. 다함빌딩),2016-04-08
383,씨유 도안수목토점,대전광역시 서구 도안동로 177. 107-3호 (도안동. 도안신도시 수목토아파트),2016-03-29
384,씨유 배재대점,대전광역시 서구 배재로197번길 27-53. 1층 (도마동. 배재빌딩),2016-03-29
385,씨유 둔산사랑점,대전광역시 서구 둔산로51번길 38. 1층 101호 (둔산동),2016-03-25
386,세븐일레븐 대전용문대로점,대전광역시 서구 도산로 342. 1층 (용문동),2016-03-23
387,월평매점,대전광역시 서구 월드컵대로 486 (월평동),2016-03-18
388,둔산밸리공인중개사사무소,대전광역시 서구 갈마역로 22. 102호 (둔산동. 리베라스위트빌),2016-03-17
389,소영슈퍼,대전광역시 서구 갈마로 60-18 (갈마동),2016-03-14
390,GS25 둔산향촌점,대전광역시 서구 둔지로 52. 101호 (둔산동. 갤러리빌7차),2016-03-08
391,성원종합유통,대전광역시 서구 관저동로90번길 47. 상가동 101호 (관저동. 느리울마을아파트11단지),2016-03-08
392,CU 목원대중앙도서관점,대전광역시 서구 도안북로 88 (도안동. 목원대학교),2016-03-07
393,GS25 둔산녹원점,대전광역시 서구 문정로9번길 41. 1층 (둔산동),2016-03-07
394,GS25 둔산애플점,대전광역시 서구 대덕대로 179. 107호 (둔산동. 엠제이피부과굿모닝어학원),2016-02-29
395,GS25 내동롯데,대전광역시 서구 신갈마로 46. 상가동 110호 (내동. 롯데아파트),2016-02-29
396,씨유 복수마루미점,대전광역시 서구 복수중로 30. 105.106호 (복수동. 오량마을마루미아파트),2016-02-19
397,주식회사 정치망,대전광역시 서구 도안대로 47 (관저동),2016-02-19
398,씨유탄방중앙점,대전광역시 서구 문정로10번길 52 (탄방동),2016-02-19
399,크린에이트 만년점,대전광역시 서구 만년로68번길 38. 1층 (만년동),2016-02-19
400,해맑음,대전광역시 서구 장안로 693 (장안동),2016-02-15
401,로다통신,대전광역시 서구 갈마로 251. 108호 (괴정동. 한민쇼핑),2016-02-02
402,계룡낚시,대전광역시 서구 월평로13번길 96. 1층 (월평동),2016-02-01
403,효성스토아,대전광역시 서구 대신4길 52 (도마동),2016-01-19
404,씨유 대전가장타운점,대전광역시 서구 괴정로 192. 1층 (가장동. 팬텀하우스),2016-01-18
405,이마트24 대전도마점,대전광역시 서구 도솔로 56. 1층 (도마동),2016-01-18
406,월평프라자,대전광역시 서구 월평서로 21 (월평동),2016-01-14
407,세븐일레븐 대전배재학사점,대전광역시 서구 도학3길 48 (도마동),2015-12-31
408,더 좋은 마트,대전광역시 서구 문정로90번길 73 (탄방동),2015-12-31
409,K마트,대전광역시 서구 탄방로 60 (탄방동),2015-12-28
410,세븐일레븐 대전용문무지개점,대전광역시 서구 도산로370번길 20 (용문동. 대호아트빌),2015-12-14
411,한진마트,대전광역시 서구 사마1길 11. 1층 (도마동),2015-12-08
412,가람마트,대전광역시 서구 둔산북로 215. 108호 (둔산동. 가람아파트),2015-12-07
413,GS25 대전스카이점,대전광역시 서구 신갈마로181번길 50 (갈마동),2015-11-27
414,사단법인 한국신체장애인복지회,대전광역시 서구 월평중로 21. 5층 (월평동. 한국마사회 빌딩),2015-11-25
415,씨유 대전시청역점,대전광역시 서구 둔산중로 지하 55. 1층 (둔산동. 시청역),2015-11-23
416,사회적협동조합품앗이마을 탄방지점,대전광역시 서구 문정로 41. 1층 (탄방동. SKT 둔산사옥),2015-11-11
417,미노유통,대전광역시 서구 계백로1286번길 122. 1층 (정림동),2015-11-11
418,우리홈마트,대전광역시 서구 괴정로134번길 23. 1층 102호 (가장동),2015-11-02
419,씨유 대전전자타운점,대전광역시 서구 계룡로629번길 5. 1층 (탄방동),2015-11-02
420,케이마트,대전광역시 서구 문예로 16. 지하층 1호 (탄방동. 한가람아파트),2015-10-28
421,일광종합상사,대전광역시 서구 둔산중로72번길 32. 108호 (둔산동. 아크로프라자),2015-10-28
422,혜천마트,대전광역시 서구 복수남로 50 (복수동),2015-10-21
423,시가통닷컴(전자),대전광역시 서구 도산로 415 (탄방동),2015-10-14
424,씨유 둔산꿈나무점,대전광역시 서구 청사로 253. 102호 (둔산동. 꿈나무아파트),2015-10-08
425,GS25 갈마빌리지,대전광역시 서구 갈마역로25번길 73. 102호 (갈마동),2015-10-08
426,GS 둔산법원점,대전광역시 서구 둔산로137번길 27 (둔산동),2015-09-22
427,씨유대전쌍용점,대전광역시 서구 갈마로103번길 17. 102호 (갈마동. 해오름빌),2015-09-14
428,보떼화장품 정림점,대전광역시 서구 정림동로5번길 11 (정림동),2015-09-10
429,삼구할인마트,대전광역시 서구 괴정로 28 (괴정동),2015-09-10
430,씨유 대전갈마스타점,대전광역시 서구 월평동로26번길 40. 1층 (갈마동),2015-09-07
431,세븐일레븐 대전갈마로점,대전광역시 서구 갈마로 125 (갈마동),2015-08-27
432,씨유 대전갈마시티점,대전광역시 서구 계룡로394번길 50. 1층 103.104호 (갈마동),2015-08-11
433,탑(PLUS)마트,대전광역시 서구 배재로 186. 1층 (도마동),2015-08-04
434,씨유 대전월평스타점,대전광역시 서구 대덕대로 325 (월평동),2015-08-03
435,이(e-)편한마트,대전광역시 서구 도안남로 149 (관저동),2015-08-03
436,한아름,대전광역시 서구 대신1길 43 (도마동),2015-07-30
437,씨유 둔산점,대전광역시 서구 대덕대로175번길 50. 1층 (둔산동. 나이스진상가),2015-07-30
438,세븐일레븐 대전둔산주은점,대전광역시 서구 둔산중로 138. 103호 (둔산동),2015-07-29
439,씨유대전관저구봉점,대전광역시 서구 관저남로25번길 23-52 (관저동),2015-07-21
440,GS25가장래미안점,대전광역시 서구 가장로 106 (가장동. 삼성래미안아파트 재해리상가동 101호),2015-07-20
441,이마트24 대전도마경남점,대전광역시 서구 배재로 155-7. 1층 4호 (도마동. 경남상가),2015-07-13
442,(주)코리아세븐서구만년점,대전광역시 서구 만년남로11번길 56. 1층 (만년동),2015-07-07
443,GS25타임월드점,대전광역시 서구 둔산로 32-17. 1층 (둔산동),2015-07-02
444,로얄간이매점,대전광역시 서구 도산로 64. 3층 (도마동),2015-07-02
445,모든통신,대전광역시 서구 도산로 140. 1층 (도마동),2015-06-29
446,세븐일레븐대전둔산여고후문점,대전광역시 서구 갈마역로25번길 23 (갈마동),2015-06-16
447,정림에너지,대전광역시 서구 계백로 1277 (정림동),2015-06-12
448,생활용품할인마트,대전광역시 서구 도산로 372 (용문동),2015-06-08
449,GS25둔산플러스,대전광역시 서구 둔산중로14번길 36. 125호 (탄방동. 하이플러스),2015-05-29
450,복수BYC,대전광역시 서구 복수동로 50 (복수동),2015-05-27
451,전자담배멀티샵,대전광역시 서구 도안남로 145. 101호 (관저동),2015-05-27
452,GS25괴정타운,대전광역시 서구 괴정로98번길 1 (괴정동),2015-05-20
453,(주)코리아세븐 둔산아르누보점,대전광역시 서구 둔산중로 20. 1층 129. 130호 (탄방동. 나비가아르누보팰리스),2015-05-15
454,CU내동플라워점,대전광역시 서구 도솔로252번길 49. 1층 103호 (내동),2015-05-13
455,세븐일레븐대전갈마둔원점,대전광역시 서구 갈마로147번길 57 (갈마동),2015-05-11
456,우리마트,대전광역시 서구 배재로232번길 16. 101호 (변동. 정우빌),2015-04-28
457,허니,대전광역시 서구 문정로 148. 102호 (탄방동. 굿앤월드빌딩),2015-04-28
458,씨유둔산목련스타점,대전광역시 서구 둔산남로 127. 105호 (둔산동. 목련아파트 중앙상가),2015-04-28
459,늘푸른1차매장,대전광역시 서구 동서대로 1008 (내동),2015-04-22
460,원조옛날삼겹살,대전광역시 서구 도솔로 358 (괴정동),2015-04-13
461,한길할인마트,대전광역시 서구 계룡로251번길 15. 1층 (월평동),2015-04-08
462,굿마트,대전광역시 서구 계백로1158번길 11 (가수원동),2015-04-03
463,GS25대전정림점,대전광역시 서구 정림동로 1 (정림동),2015-03-31
464,기성농협평촌지점,대전광역시 서구 길마루길 10 (평촌동),2015-03-26
465,CU갈마행복점,대전광역시 서구 계룡로354번길 56. 1층 (갈마동),2015-03-19
466,도안수부동산 공인중개사사무소,대전광역시 서구 용소로 39 (가수원동),2015-03-19
467,(주)코리아세븐 대전정부청사점,대전광역시 서구 청사로 189 (둔산동),2015-03-16
468,그린팩토리,대전광역시 서구 갈마로 15. 102호 (갈마동),2015-03-12
469,그랜드마트,대전광역시 서구 괴정로133번길 51 (괴정동),2015-03-12
470,대왕철물공구,대전광역시 서구 도산로 455 (탄방동),2015-03-10
471,농심유통,대전광역시 서구 변동로 75. 102.107.108호호 (변동),2015-03-06
472,벽산마트,대전광역시 서구 정림서로 134-20 (정림동),2015-03-05
473,우리마트,대전광역시 서구 배재로 44 (도마동),2015-03-05
474,전자담배,대전광역시 서구 갈마로 231 (괴정동),2015-03-05
475,CU 괴정센터점,대전광역시 서구 계룡로 544-1 (괴정동),2015-03-03
476,둥지홈마트,대전광역시 서구 청사로 254 (둔산동),2015-03-03
477,씨스페이시스 대전월평점,대전광역시 서구 청사서로 14 (월평동),2015-02-27
478,GS25뉴남선파크,대전광역시 서구 유등로655번길 27. 1층 (탄방동),2015-02-24
479,도마시장 스토아,대전광역시 서구 도마시장2길 8 (도마동),2015-02-09
480,씨유 대전탄방남선점,대전광역시 서구 남선로 59 (탄방동),2015-02-06
481,(주)아이비푸드 대전도시철도공사 매점,대전광역시 서구 월드컵대로 480. 지하층 (월평동),2015-02-06
482,GS25 내동굿모닝,대전광역시 서구 갈마로 262. 503동 101호 (내동. 맑은아침아파트 상가),2015-01-30
483,예스모바일,대전광역시 서구 오량1길 40. 102호 (복수동),2015-01-22
484,저스코전자담배 배재대점,대전광역시 서구 도솔로 119 (도마동),2015-01-22
485,새론마트,대전광역시 서구 월평로13번길 44 (월평동),2015-01-21
486,에브리데이 365,대전광역시 서구 정림서로138번길 14 (정림동),2015-01-21
487,그린편의점,대전광역시 서구 도산로181번길 2. 1층 (변동),2015-01-21
488,베스트전자담배,대전광역시 서구 도솔로 383 (괴정동),2015-01-21
489,세이브텔레콤,대전광역시 서구 신갈마로 122. 1층 (갈마동),2015-01-20
490,(사)마사동우회 대전3층매점,대전광역시 서구 월평중로 21 (월평동),2015-01-15
491,체리쉬,대전광역시 서구 갈마로245번길 15 (괴정동),2015-01-13
492,행복드림마트,대전광역시 서구 괴정로149번길 27 (용문동),2015-01-02
493,디케이 베이프(전자),대전광역시 서구 계룡로 526 (괴정동),2014-12-30
494,코코마트(주),대전광역시 서구 도안북로 103. 101~113호 (도안동),2014-12-24
495,코리아세븐 대전복수원룸점,대전광역시 서구 복수동로66번길 23 (복수동),2014-12-24
496,부산슈퍼,대전광역시 서구 벌곡로 387 (평촌동),2014-12-19
497,세븐일레븐 대전가수원대로점,대전광역시 서구 계백로 1145. 107호 (가수원동),2014-12-17
498,씨유 대전탄방타운점,대전광역시 서구 유등로655번길 16. 1층 (탄방동),2014-12-05
499,이파드전자담배,대전광역시 서구 도솔로 318 (괴정동),2014-12-05
500,(주)에스와이에스리테일 둔산점(전자),대전광역시 서구 대덕대로 234. 3층 (둔산동),2014-12-02
501,곰패밀리,대전광역시 서구 괴정로 45 (탄방동),2014-12-02
502,J전자담배,대전광역시 서구 탄방로7번길 34 (탄방동),2014-12-01
503,판다중고폰,대전광역시 서구 도솔4길 24. 1층 (도마동),2014-11-25
504,세븐일레븐 정림제일점,대전광역시 서구 정림로 10. 103호 (정림동),2014-11-21
505,친철할인마트,대전광역시 서구 가수원로 95 (가수원동),2014-11-18
506,전자담배VIP,대전광역시 서구 한밭대로 701 (월평동),2014-11-17
507,GS25내동센터,대전광역시 서구 동서대로 1023 (내동),2014-11-14
508,대전전자담배아메리퀴드월평점,대전광역시 서구 월평북로 91 (월평동),2014-11-12
509,(주)이마트에브리데이 대전관저점,대전광역시 서구 관저중로 70. 101. 102호 (관저동),2014-11-07
510,전자담배멀티스토어,대전광역시 서구 문예로 61 (둔산동),2014-11-06
511,The좋은마트,대전광역시 서구 계룡로491번길 28. 1층 (둔산동),2014-11-05
512,대산슈퍼,대전광역시 서구 제비네6길 28 (도마동),2014-11-04
513,씨유 갈마위너스점,대전광역시 서구 대덕대로168번길 22. 101호 (갈마동),2014-10-27
514,엘지도마센타,대전광역시 서구 도마6길 194 (도마동),2014-10-23
515,(주)8282퀵서비스배달대행,대전광역시 서구 계백로 1454 (도마동),2014-10-23
516,다니엘 베가 전자담배 대전 서구점,대전광역시 서구 갈마로 212. 101호 (내동),2014-10-23
517,시스향료,대전광역시 서구 동서대로 1029-1 (내동),2014-10-22
518,대전퀸비전자담배만년점,대전광역시 서구 대덕대로 366 (만년동),2014-10-17
519,GS25갈마계룡로,대전광역시 서구 계룡로349번길 10 (갈마동),2014-10-17
520,대전전자담배아메리퀴드 도안점,대전광역시 서구 동서대로 688. 104호 (도안동),2014-10-10
521,미학할인마트,대전광역시 서구 계룡로342번길 68 (갈마동),2014-10-10
522,(주)도안홈마트,대전광역시 서구 도안북로93번길 26-21 (도안동),2014-10-10
523,K-마트,대전광역시 서구 도마6길 120 (도마동),2014-10-10
524,극진,대전광역시 서구 도솔로 498 (용문동),2014-10-02
525,지에스25탄방드림점,대전광역시 서구 남선로60번길 31 (탄방동),2014-10-02
526,GS25 배재스타,대전광역시 서구 배재로91번길 51-2 (도마동),2014-09-19
527,(주)코리아세븐 대전둔산남로점,대전광역시 서구 둔산남로105번길 28 (둔산동),2014-09-19
528,GS25복수리슈빌점,대전광역시 서구 복수남로12번길 44 (복수동),2014-09-19
529,유케이통신,대전광역시 서구 신갈마로 209. 1동 2호 (갈마동),2014-09-18
530,미니스톱 목원대후문점,대전광역시 서구 도안북로118번길 51 (도안동),2014-09-02
531,초록슈퍼,대전광역시 서구 괴정로 199. 103호 (용문동),2014-08-21
532,세븐일레븐 대전둔산센터점,대전광역시 서구 둔산로73번길 21. 101호 (둔산동),2014-08-21
533,(주)코리아세븐 대전둔산사랑점,대전광역시 서구 둔산중로46번길 30. 1층 (둔산동),2014-08-08
534,씨유 목원대학사점,대전광역시 서구 도안북로118번길 26. 1층 (도안동),2014-08-07
535,대전퀸비전자담배 도안가수원점,대전광역시 서구 도안동로 6. 104호 (가수원동),2014-08-06
536,이마트24 대전월평점,대전광역시 서구 월평중로13번길 17 (월평동),2014-07-31
537,세븐일레븐 대전목원대원룸점,대전광역시 서구 도안북로118번길 81. 101호 (도안동),2014-07-31
538,세븐일레븐 대전관저마치점,대전광역시 서구 관저로 142. 105호 (관저동),2014-07-24
539,조은유통,대전광역시 서구 계룡로583번길 9. 5층 (탄방동),2014-07-08
540,태양당시계,대전광역시 서구 도마2길 34 (도마동),2014-07-03
541,이츠마트 내동점,대전광역시 서구 도산로253번길 51. 지하1층 (내동),2014-07-02
542,광통신,대전광역시 서구 괴정로 107. 105.106호 (괴정동),2014-07-01
543,우리할인마트,대전광역시 서구 신갈마로209번길 54 (갈마동),2014-06-27
544,대전전자담배멀티샵,대전광역시 서구 둔산북로 22. 148호 (둔산동),2014-06-26
545,싱싱한과일,대전광역시 서구 용문로 99 (용문동),2014-06-23
546,(주)코리아세븐 대전관저느리울점,대전광역시 서구 관저동로 47-3 (관저동),2014-06-20
547,보람전기조명,대전광역시 서구 도산로 112 (도마동),2014-06-18
548,(주)신흥주방,대전광역시 서구 계백로 1177 (가수원동),2014-06-18
549,갤러리,대전광역시 서구 둔산로 18. 709호 (둔산동),2014-06-12
550,세븐일레븐 대전탄방하늘점,대전광역시 서구 남선로23번길 30 (탄방동),2014-06-12
551,하나마트,대전광역시 서구 계룡로562번길 25. 1층 (괴정동),2014-06-11
552,대전축산업협동조합 도안동지점 하나로마트,대전광역시 서구 도안중로305번길 6 (도안동),2014-05-23
553,GS25 도안빌리지,대전광역시 서구 도안동로31번길 12-3 (가수원동),2014-05-19
554,머리하는날,대전광역시 서구 갈마로 13-28 (갈마동),2014-05-16
555,대전과일,대전광역시 서구 원도안로 187. 101호 (도안동),2014-05-15
556,세븐일레븐 대전용문뉴타운점,대전광역시 서구 괴정로 163 (용문동),2014-05-13
557,이마트24 대전갈마행복점,대전광역시 서구 계룡로 379-12 (갈마동),2014-05-02
558,CU대전복수타운점,대전광역시 서구 복수남로12번길 3. 1층 (복수동),2014-04-02
559,승차권판매소,대전광역시 서구 청사로 281 (둔산동. 앞 보도),2014-03-24
560,갈마홈마트,대전광역시 서구 대덕대로 131. 1층 (갈마동),2014-03-14
561,하카전자담배 대전갈마점,대전광역시 서구 신갈마로 224. 103호 (갈마동),2014-03-12
562,선영상사,대전광역시 서구 도솔로296번길 45. 101.102호 (괴정동),2014-03-07
563,플러스마트,대전광역시 서구 가장로 61. 1층 (괴정동),2014-02-25
564,미니스톱 과기대학사점,대전광역시 서구 복수동로52번길 136 (복수동),2014-02-20
565,세븐일레븐 대전월평원룸점,대전광역시 서구 월평새뜸로4번길 113 (월평동),2014-02-12
566,지에스(GS)25 배재중앙,대전광역시 서구 도솔4길 10 (도마동),2014-02-12
567,하나로,대전광역시 서구 청사로 281 (둔산동),2014-01-21
568,CU둔산마치점,대전광역시 서구 둔산중로64번길 20 (둔산동),2014-01-06
569,우리할인마트,대전광역시 서구 복수동로52번길 102 (복수동),2013-12-26
570,(주)아워홈맘초이대전무역회관점,대전광역시 서구 청사로 136 (월평동),2013-12-12
571,미니스톱둔산행복점,대전광역시 서구 갈마역로 16 (둔산동),2013-12-05
