연번,업소명,업소도로명주소,지정일자
63,씨유대전관저대룡점,대전광역시 서구 구봉산북로21번길 2. 104호 (관저동),2019-01-22
64,주식회사 두리유통 장호원점,대전광역시 서구 문정로 131. 지하1층 (탄방동. 공작한양아파트),2019-01-18
65,굿모닝마트,대전광역시 서구 도마로 59. 103호 (변동. 모닝빌아파트),2019-01-16
66,녹원할인마트,대전광역시 서구 둔산남로 30. 상가동 110.111.112호 (둔산동. 녹원아파트),2019-01-14
67,베스트25가장점,대전광역시 서구 도산로314번길 50. 1층 (가장동),2019-01-11
68,감귤마트,대전광역시 서구 원도안로224번안길 6-4. 1층 (도안동),2019-01-11
69,가수원 전자담배,대전광역시 서구 도안동로 3. 리더스프라자에이 1층 109호 (가수원동),2019-01-07
70,이마트24대전괴정영진점,대전광역시 서구 괴정로8번길 1. 1층 (괴정동),2019-01-07
71,아이텔세탁소,대전광역시 서구 둔산로 133. 현대아이텔 1층 119호 (둔산동),2019-01-07
72,지에스(GS)25 둔산청솔점,대전광역시 서구 둔산로 223. 상가동 106.107.108호 (둔산동. 청솔아파트),2018-12-28
73,(주)코리아세븐 대전변동점,대전광역시 서구 동서대로 1085. 1층 (내동),2018-12-20
74,세븐일레븐 대전월평타운점,대전광역시 서구 월평서로6번길 71 (월평동),2018-12-19
75,(주)코리아세븐 갈마2점,대전광역시 서구 갈마중로 7 (갈마동),2018-12-14
76,계룡마트,대전광역시 서구 가수원로 91-4 (가수원동),2018-12-12
77,아이마트,대전광역시 서구 유등로 515-13. 1층 (용문동),2018-12-12
78,씨유대전갈마사랑점,대전광역시 서구 대덕대로 149. 1층 (갈마동),2018-12-03
79,세븐일레븐대전탄방로얄점,대전광역시 서구 계룡로629번길 66. A동 101호 (탄방동),2018-11-28
80,세븐일레븐 대전관저리틀점,대전광역시 서구 관저중로96번길 12. 1층 (관저동),2018-11-27
81,씨유대전가수원계룡점,대전광역시 서구 가수원로 98. 상가동 1층 1호 (가수원동. 계룡아파트),2018-11-26
82,세븐일레븐 대전도마중앙점,대전광역시 서구 사마1길 41 (도마동),2018-11-15
83,탑플러스마트,대전광역시 서구 원도안로179번길 5 (도안동),2018-11-12
84,빈티지오브제,대전광역시 서구 구봉산북로7번길 55. 1층 101호 (관저동),2018-11-02
85,씨유(CU)대전갈마초점,대전광역시 서구 월평동로 5-4 (월평동),2018-10-26
86,바낙스대전점,대전광역시 서구 계룡로339번길 7 (월평동),2018-10-22
87,GS25대전베스트,대전광역시 서구 신갈마로 91 (갈마동),2018-10-22
88,이마트24대전관저구봉점,대전광역시 서구 관저로 46. 구봉마을 7단지 주상가동 1층 102호 (관저동),2018-10-16
89,참조은마트둔산점,대전광역시 서구 문예로 174. 지하층 (둔산동. 샘머리아파트),2018-10-11
90,씨유둔산향촌점,대전광역시 서구 갈마역로 25. 1층 (갈마동),2018-10-01
91,주식회사 엘케이팜 대전청사점,대전광역시 서구 청사로 234. 1층 101호 (둔산동),2018-09-27
92,자연애마트,대전광역시 서구 원도안로224번안길 6-12 (도안동),2018-09-27
93,스마일마트,대전광역시 서구 계룡로 382-7. 1층 (갈마동),2018-09-17
94,GS25목원대사랑점,대전광역시 서구 도안북로 101. 도안타워 108호 (도안동),2018-09-17
95,이마트24대전용문역점,대전광역시 서구 계룡로 647. 101호 (용문동),2018-09-17
96,씨유갈마도서관점,대전광역시 서구 신갈마로 63 (갈마동),2018-09-13
97,이마트24대전괴정백운점,대전광역시 서구 계룡로562번길 61. 1층 (괴정동),2018-09-13
98,큐브네트웍스,대전광역시 서구 계룡로576번길 5. 102호 (괴정동),2018-09-06
99,장터할인마트,대전광역시 서구 관저중로95번길 52. 1층 (관저동),2018-09-06
100,씨유대전삼성생명점,대전광역시 서구 한밭대로 755. 1층 (둔산동),2018-08-30
101,동부마트,대전광역시 서구 청사서로 32. 1층 (월평동),2018-08-30
102,캐피탈편의점,대전광역시 서구 한밭대로 797. 지하 1층 (둔산동),2018-08-28
103,더(The)좋은마트,대전광역시 서구 관저중로95번길 24. 1층 (관저동),2018-08-23
104,GS25탄방중앙점,대전광역시 서구 도솔로 445 (탄방동),2018-08-22
105,에제르커피,대전광역시 서구 대덕대로242번길 48. 1층 (둔산동),2018-08-22
106,씨유대전괴정점,대전광역시 서구 도솔로 373. 1층 (괴정동),2018-08-17
107,세븐일레븐성가정점,대전광역시 서구 탄방로 12. 104호 (탄방동. 네스트빌),2018-08-17
108,행복드림마트,대전광역시 서구 문정로112번안길 32. 1층 (탄방동),2018-07-30
109,아라마크(주),대전광역시 서구 한밭대로 733. 대전둔산경찰서 (둔산동),2018-07-24
110,우리식자재마트,대전광역시 서구 둔지로 64. 1층 (둔산동),2018-07-23
111,둔산동 전자담배,대전광역시 서구 둔산남로 85. 크레온오피스텔 101호 (둔산동),2018-07-20
112,리더스,대전광역시 서구 도안동로 9. 리더스프라자비 502호 (가수원동),2018-07-19
113,이마트24대전탄방빌리지점,대전광역시 서구 남선로 29. 1층 (탄방동),2018-07-18
114,이마트24 대전관저타워점,대전광역시 서구 도안남로 137. 미소타워 103호 (관저동),2018-07-18
115,GS25갈마중앙점,대전광역시 서구 신갈마로113번길 28 (갈마동),2018-07-13
116,한아름꽃집,대전광역시 서구 신갈마로 155. 1층 (갈마동),2018-07-12
117,씨유 대전월평초점,대전광역시 서구 월평서로 8. 101호 (월평동),2018-07-12
118,GS25만년중앙점,대전광역시 서구 만년남로3번길 46-3 (만년동),2018-07-11
119,한길마트 관저점,대전광역시 서구 관저서로 19. 106호 (관저동. 관저더샵),2018-07-09
120,지에스25둔산드림점,대전광역시 서구 둔산남로179번길 7. 1층 (둔산동),2018-07-05
