"시장명",시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자
"한민시장",상설장,대전광역시 서구 가장로 94,대전광역시 서구 괴정동 88-6,매일,36.3345645376,127.3843107352,240,"생필품,농수산물",온누리상품권,www.domabigmarket.com,Y,Y,2006,042-522-9094,2020-02-17
"도마큰시장",상설장,대전광역시 서구 도마2길39(도마동),대전광역시 서구 도마동 134-40,매일,36.3147263050,127.3813983401,494,"생필품,의류,농수산물",온누리상품권,www.hanmin-market.co.kr,Y,Y,2005,042-532-8883,2020-02-17
"가수원상점가",상설장,대전광역시 서구 벌곡로1369-22(가수원동),대전광역시 서구 가수원동 768-10,매일,36.3032002052,127.3526263133,92,"생필품,가정용품",온누리상품권,,Y,Y,2007,042-541-1845,2020-02-17
"둔산3동상점가",상설장,대전광역시 서구 둔산로206(둔산동),대전광역시 서구 둔산동 1814,매일,36.3510730391,127.3967622117,698,"생필품,요식업 등",온누리상품권,,Y,Y,2008,042-478-8439,2020-02-17
