"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",흑석어린이집,대전광역시 서구 조련길 67,,36.252355,127.345131,대전광역시 서구청,서부경찰서,Y,1,4~10,2020-02-10
"어린이집",칭찬나라어린이집,대전광역시 서구 도솔로 328번길 91,,36.334728,127.387149,대전광역시 서구청,서부경찰서,N,0,6,2020-02-10
"어린이집",내동어린이집,대전광역시 서구 도산로 253번길 90,,36.332924,127.379147,대전광역시 서구청,서부경찰서,N,0,6,2020-02-10
"어린이집",시우어린이집,대전광역시 서구 괴정로 98,,36.338503,127.383805,대전광역시 서구청,서부경찰서,N,0,8~20,2020-02-10
"어린이집",정원어린이집,대전광역시 서구 가장로 66,,36.336514,127.382244,대전광역시 서구청,서부경찰서,N,0,15,2020-02-10
"어린이집",한솥어린이집,대전광역시 서구 도산로 253번길 25-6,,36.330659,127.381422,대전광역시 서구청,서부경찰서,N,0,10,2020-02-10
"어린이집",정금어린이집,대전광역시 서구 갈마중로 38번길 20,,36.346713,127.373173,대전광역시 서구청,둔산경찰서,N,0,6,2020-02-10
"어린이집",하늘빛어린이집,대전광역시 서구 가수원중로 57번길 56,,36.2980070786,127.353419,대전광역시 서구청,서부경찰서,N,0,6~8,2020-02-10
"유치원",열린교실유치원,대전광역시 서구 중반3길 49,,36.326342,127.382479,대전광역시 서구청,서부경찰서,N,0,6~8,2020-02-10
"어린이집",라온어린이집,대전광역시 서구 가수원중로 49번길 33,,36.299653,127.353797,대전광역시 서구청,서부경찰서,N,0,6~8,2020-02-10
"어린이집",대전지방경찰청어린이집,대전광역시 서구 둔산중로 77,,36.3547559803,127.3860811107,대전광역시 서구청,둔산경찰서,N,0,6~8,2020-02-10
"어린이집",아이월드어린이집,대전광역시 서구 신갈마로 155번길 33,,36.347305,127.3664188,대전광역시 서구청,서부경찰서,N,0,8,2020-02-10
"어린이집",반지어린이집,대전광역시 서구 계룡로 379-25,,36.353112,127.3713465,대전광역시 서구청,서부경찰서,N,0,6,2020-02-10
"유치원",프렌즈유치원,대전광역시 서구 원도안로 25번길 97,,36.30902656,127.3473214,대전광역시 서구청,서부경찰서,N,0,20,2020-02-10
"유치원",펀키즈유치원,대전광역시 서구 도안동로 77,,36.31130135,127.3484895,대전광역시 서구청,서부경찰서,N,0,단지내,2020-02-10
"초등학교",선유초등학교,대전광역시 서구 관저남로 60,,36.29495039,127.3409491,대전광역시 서구청,서부경찰서,N,0,10,2020-02-10
"어린이집",새봄어린이집,대전광역시 서구 계룡로 662번길 48,,36.3355098492,127.3929153,대전광역시 서구청,서부경찰서,N,0,6~15,2020-02-10
"어린이집",월평꿈나무어린이집,대전광역시 서구 월평로13번길 22,,36.3563662,127.3584079,대전광역시 서구청,둔산경찰서,N,0,8,2020-02-10
"학원",양영학원,대전광역시 서구 둔산로 136,,36.350967,127.3889893,대전광역시 서구청,둔산경찰서,N,0,15~20,2020-02-10
